0
Air conditioning
Essentials
Hot water
Laptop friendly workspace
Pocket wifi
Stair gates
Cooking basics
Dishes and silverware
Kitchen
Stove
Building staff
Private entrance
Long term stays allowed
Bed linens
Hangers
Shampoo
